2022-11-15 19:30:28,514 INFO    MainThread:9692 [wandb_setup.py:_flush():68] Configure stats pid to 9692
2022-11-15 19:30:28,515 INFO    MainThread:9692 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Cliente\.config\wandb\settings
2022-11-15 19:30:28,515 INFO    MainThread:9692 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Cliente\Documents\bolsa\ultimo funcional\MOparetoQlearning-baseline\deepseatreasure-pareto\wandb\settings
2022-11-15 19:30:28,515 INFO    MainThread:9692 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-15 19:30:28,515 INFO    MainThread:9692 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'deepseatreasure-pareto\\agent.py', 'program': 'agent.py'}
2022-11-15 19:30:28,515 INFO    MainThread:9692 [wandb_init.py:_log_setup():476] Logging user logs to C:\Users\Cliente\Documents\bolsa\ultimo funcional\MOparetoQlearning-baseline\deepseatreasure-pareto\wandb\run-20221115_193028-2dtdrep1\logs\debug.log
2022-11-15 19:30:28,516 INFO    MainThread:9692 [wandb_init.py:_log_setup():477] Logging internal logs to C:\Users\Cliente\Documents\bolsa\ultimo funcional\MOparetoQlearning-baseline\deepseatreasure-pareto\wandb\run-20221115_193028-2dtdrep1\logs\debug-internal.log
2022-11-15 19:30:28,516 INFO    MainThread:9692 [wandb_init.py:init():516] calling init triggers
2022-11-15 19:30:28,516 INFO    MainThread:9692 [wandb_init.py:init():520] wandb.init called with sweep_config: {}
config: {}
2022-11-15 19:30:28,516 INFO    MainThread:9692 [wandb_init.py:init():569] starting backend
2022-11-15 19:30:28,516 INFO    MainThread:9692 [wandb_init.py:init():573] setting up manager
2022-11-15 19:30:28,518 INFO    MainThread:9692 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2022-11-15 19:30:28,523 INFO    MainThread:9692 [wandb_init.py:init():580] backend started and connected
2022-11-15 19:30:28,524 INFO    MainThread:9692 [wandb_init.py:init():658] updated telemetry
2022-11-15 19:30:28,569 INFO    MainThread:9692 [wandb_init.py:init():694] communicating run to backend with 60 second timeout
2022-11-15 19:30:29,154 INFO    MainThread:9692 [wandb_run.py:_on_init():2000] communicating current version
2022-11-15 19:30:29,292 INFO    MainThread:9692 [wandb_run.py:_on_init():2004] got version response 
2022-11-15 19:30:29,292 INFO    MainThread:9692 [wandb_init.py:init():728] starting run threads in backend
2022-11-15 19:30:29,978 INFO    MainThread:9692 [wandb_run.py:_console_start():1980] atexit reg
2022-11-15 19:30:29,978 INFO    MainThread:9692 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-15 19:30:29,978 INFO    MainThread:9692 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-15 19:30:29,978 INFO    MainThread:9692 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-15 19:30:29,978 INFO    MainThread:9692 [wandb_init.py:init():765] run started, returning control to user process
2022-11-15 19:30:29,979 INFO    MainThread:9692 [wandb_run.py:_tensorboard_callback():1296] tensorboard callback: pql, True
2022-11-15 19:30:47,084 WARNING MsgRouterThr:9692 [router.py:message_loop():77] message_loop has been closed
